% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 12:55
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
-8.673617379884035E-19    6.938893903907228E-18    -0.012077922077922366    -0.1370450868884266
-8.673617379884035E-19    6.938893903907228E-18    -0.012051948051948338    -0.1373154520282538
-8.673617379884035E-19    6.938893903907228E-18    -0.012025974025974313    -0.13807314284263666
-8.673617379884035E-19    6.938893903907228E-18    -0.012000000000000286    -0.1388308336570197
-8.673617379884035E-19    6.938893903907228E-18    -0.011974025974026258    -0.13958852447140258
-8.673617379884035E-19    6.938893903907228E-18    -0.011948051948052232    -0.1403262215715388
-8.673617379884035E-19    6.938893903907228E-18    -0.011922077922078209    -0.14105030804466678
-8.673617379884035E-19    6.938893903907228E-18    -0.011896103896104182    -0.14177439451779447
-8.673617379884035E-19    6.938893903907228E-18    -0.011870129870130154    -0.1424984809909226
-8.673617379884035E-19    6.938893903907228E-18    -0.011844155844156129    -0.1429960481372227
-8.673617379884035E-19    6.938893903907228E-18    -0.011818181818182102    -0.14453938307024733
-8.673617379884035E-19    6.938893903907228E-18    -0.011792207792208074    -0.14480278614594594
-8.673617379884035E-19    6.938893903907228E-18    -0.011766233766234048    -0.14576578431356457
-8.673617379884035E-19    6.938893903907228E-18    -0.011740259740260023    -0.1467287824811821
-8.673617379884035E-19    6.938893903907228E-18    -0.011714285714285995    -0.14769178064880062
-8.673617379884035E-19    6.938893903907228E-18    -0.01168831168831197     -0.14862754211869367
-8.673617379884035E-19    6.938893903907228E-18    -0.011662337662337945    -0.1495597024070372
-8.673617379884035E-19    6.938893903907228E-18    -0.011636363636363917    -0.1504918626953809
-8.673617379884035E-19    6.938893903907228E-18    -0.01161038961038989     -0.15142402298372476
-8.673617379884035E-19    6.938893903907228E-18    -0.011584415584415864    -0.15234074690322774
-8.673617379884035E-19    6.938893903907228E-18    -0.011558441558441839    -0.15325605162605083
-8.673617379884035E-19    6.938893903907228E-18    -0.01153246753246781     -0.15417135634887325
-8.673617379884035E-19    6.938893903907228E-18    -0.011506493506493784    -0.15527721100590444
-8.673617379884035E-19    6.938893903907228E-18    -0.01148051948051976     -0.15661442152019475
-8.673617379884035E-19    6.938893903907228E-18    -0.011454545454545731    -0.1578554653052903
-8.673617379884035E-19    6.938893903907228E-18    -0.011428571428571706    -0.1590965090903859
-8.673617379884035E-19    6.938893903907228E-18    -0.011402597402597681    -0.1603375528754815
-8.673617379884035E-19    6.938893903907228E-18    -0.011376623376623653    -0.16157859666057733
-8.673617379884035E-19    6.938893903907228E-18    -0.011350649350649627    -0.16281964044567288
-8.673617379884035E-19    6.938893903907228E-18    -0.0113246753246756      -0.1640606842307684
-8.673617379884035E-19    6.938893903907228E-18    -0.011298701298701575    -0.16523855637953444
-8.673617379884035E-19    6.938893903907228E-18    -0.011272727272727547    -0.16646210595715183
-8.673617379884035E-19    6.938893903907228E-18    -0.01124675324675352     -0.16768565553476916
-8.673617379884035E-19    6.938893903907228E-18    -0.011220779220779496    -0.16890920511238683
-8.673617379884035E-19    6.938893903907228E-18    -0.011194805194805469    -0.1701327546900039
-8.673617379884035E-19    6.938893903907228E-18    -0.011168831168831442    -0.17135630426762183
-8.673617379884035E-19    6.938893903907228E-18    -0.011142857142857416    -0.17353051808822606
-8.673617379884035E-19    6.938893903907228E-18    -0.01111688311688339     -0.17510748477935173
-8.673617379884035E-19    6.938893903907228E-18    -0.011090909090909363    -0.1766844514704765
-8.673617379884035E-19    6.938893903907228E-18    -0.011064935064935336    -0.1782614181616018
-8.673617379884035E-19    6.938893903907228E-18    -0.01103896103896131     -0.17841120450707126
-8.673617379884035E-19    6.938893903907228E-18    -0.011012987012987283    -0.18065714838406688
-8.673617379884035E-19    6.938893903907228E-18    -0.010987012987013257    -0.18252146697600552
-8.673617379884035E-19    6.938893903907228E-18    -0.010961038961039232    -0.18438578556794355
-8.673617379884035E-19    6.938893903907228E-18    -0.010935064935065205    -0.1862501041598822
-8.673617379884035E-19    6.938893903907228E-18    -0.010909090909091179    -0.18811442275182028
-8.673617379884035E-19    6.938893903907228E-18    -0.010883116883117152    -0.18997874134375897
-8.673617379884035E-19    6.938893903907228E-18    -0.010857142857143126    -0.19184305993569753
-8.673617379884035E-19    6.938893903907228E-18    -0.0108311688311691      -0.1937073785276362
-8.673617379884035E-19    6.938893903907228E-18    -0.010805194805195073    -0.19557169711957414
-8.673617379884035E-19    6.938893903907228E-18    -0.010779220779221048    -0.1972422768172813
-8.673617379884035E-19    6.938893903907228E-18    -0.01075324675324702     -0.198972214064424
-8.673617379884035E-19    6.938893903907228E-18    -0.010727272727272995    -0.20070215131156732
