% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 13:40
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        m
% x                       y                        z                        es.Ey (V/m)
-8.673617379884035E-19    -0.012103896103896172    -1.0408340855860843E-16  -0.14111659081403125
-8.673617379884035E-19    -0.012077922077922148    -1.0408340855860843E-16  -0.1417465594510302
-8.673617379884035E-19    -0.01205194805194812     -1.0408340855860843E-16  -0.1423765280880293
-8.673617379884035E-19    -0.012025974025974093    -1.0408340855860843E-16  -0.14300649672502833
-8.673617379884035E-19    -0.012000000000000068    -1.0408340855860843E-16  -0.14363646536202704
-8.673617379884035E-19    -0.01197402597402604     -1.0408340855860843E-16  -0.1442664339990262
-8.673617379884035E-19    -0.011948051948052017    -1.0408340855860843E-16  -0.1448964026360251
-8.673617379884035E-19    -0.01192207792207799     -1.0408340855860843E-16  -0.145641665328193
-8.673617379884035E-19    -0.011896103896103963    -1.0408340855860843E-16  -0.14658101808943683
-8.673617379884035E-19    -0.011870129870129937    -1.0408340855860843E-16  -0.14752037085068065
-8.673617379884035E-19    -0.01184415584415591     -1.0408340855860843E-16  -0.14845972361192447
-8.673617379884035E-19    -0.011818181818181886    -1.0408340855860843E-16  -0.14939907637316835
-8.673617379884035E-19    -0.011792207792207857    -1.0408340855860843E-16  -0.15027312811198612
-8.673617379884035E-19    -0.011766233766233833    -1.0408340855860843E-16  -0.15120031673842618
-8.673617379884035E-19    -0.011740259740259806    -1.0408340855860843E-16  -0.15212750536486622
-8.673617379884035E-19    -0.011714285714285781    -1.0408340855860843E-16  -0.15305469399130645
-8.673617379884035E-19    -0.011688311688311755    -1.0408340855860843E-16  -0.1539818826177465
-8.673617379884035E-19    -0.011662337662337728    -1.0408340855860843E-16  -0.15490907124418654
-8.673617379884035E-19    -0.011636363636363702    -1.0408340855860843E-16  -0.15583625987062624
-8.673617379884035E-19    -0.011610389610389675    -1.0408340855860843E-16  -0.15676344849706653
-8.673617379884035E-19    -0.01158441558441565     -1.0408340855860843E-16  -0.15769063712350634
-8.673617379884035E-19    -0.011558441558441624    -1.0408340855860843E-16  -0.15897513007848196
-8.673617379884035E-19    -0.011532467532467597    -1.0408340855860843E-16  -0.15996873686041008
-8.673617379884035E-19    -0.01150649350649357     -1.0408340855860843E-16  -0.16089318981471745
-8.673617379884035E-19    -0.011480519480519546    -1.0408340855860843E-16  -0.16221342203095923
-8.673617379884035E-19    -0.01145454545454552     -1.0408340855860843E-16  -0.1635336542472014
-8.673617379884035E-19    -0.011428571428571493    -1.0408340855860843E-16  -0.16485388646344357
-8.673617379884035E-19    -0.011402597402597468    -1.0408340855860843E-16  -0.16617411867968565
-8.673617379884035E-19    -0.01137662337662344     -1.0408340855860843E-16  -0.16749435089592787
-8.673617379884035E-19    -0.011350649350649413    -1.0408340855860843E-16  -0.16881458311217018
-8.673617379884035E-19    -0.011324675324675388    -1.0408340855860843E-16  -0.17013481532841226
-8.673617379884035E-19    -0.011298701298701362    -1.0408340855860843E-16  -0.1715299558560479
-8.673617379884035E-19    -0.011272727272727335    -1.0408340855860843E-16  -0.17283188628774193
-8.673617379884035E-19    -0.01124675324675331     -1.0408340855860843E-16  -0.17413381671943523
-8.673617379884035E-19    -0.011220779220779286    -1.0408340855860843E-16  -0.17543574715112906
-8.673617379884035E-19    -0.011194805194805257    -1.0408340855860843E-16  -0.1772096383924613
