% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 13:24
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        m
% x                       y                        z                        es.Ex (V/m)
-0.012311688311688402     6.938893903907228E-18    -1.0408340855860843E-16  -0.13212054190476097
-0.012285714285714375     6.938893903907228E-18    -1.0408340855860843E-16  -0.13252742881832477
-0.012259740259740349     6.938893903907228E-18    -1.0408340855860843E-16  -0.1329382899770556
-0.012233766233766322     6.938893903907228E-18    -1.0408340855860843E-16  -0.1333491511357863
-0.012207792207792296     6.938893903907228E-18    -1.0408340855860843E-16  -0.13411881623284927
-0.01218181818181827      6.938893903907228E-18    -1.0408340855860843E-16  -0.13464126181639924
-0.012155844155844246     6.938893903907228E-18    -1.0408340855860843E-16  -0.13516370739994862
-0.012129870129870218     6.938893903907228E-18    -1.0408340855860843E-16  -0.1356861529834984
-0.012103896103896193     6.938893903907228E-18    -1.0408340855860843E-16  -0.13601490077811224
-0.012077922077922167     6.938893903907228E-18    -1.0408340855860843E-16  -0.13675612363245024
-0.01205194805194814      6.938893903907228E-18    -1.0408340855860843E-16  -0.13749734648678785
-0.012025974025974114     6.938893903907228E-18    -1.0408340855860843E-16  -0.1382694854944066
-0.012000000000000087     6.938893903907228E-18    -1.0408340855860843E-16  -0.1389763858968424
-0.01197402597402606      6.938893903907228E-18    -1.0408340855860843E-16  -0.13968328629927818
-0.011948051948052034     6.938893903907228E-18    -1.0408340855860843E-16  -0.14039018670171405
-0.01192207792207801      6.938893903907228E-18    -1.0408340855860843E-16  -0.14109708710414975
-0.011896103896103984     6.938893903907228E-18    -1.0408340855860843E-16  -0.14180398750658565
-0.011870129870129956     6.938893903907228E-18    -1.0408340855860843E-16  -0.1425108879090214
-0.011844155844155931     6.938893903907228E-18    -1.0408340855860843E-16  -0.14321778831145776
-0.011818181818181905     6.938893903907228E-18    -1.0408340855860843E-16  -0.14378326193468216
-0.011792207792207878     6.938893903907228E-18    -1.0408340855860843E-16  -0.14493149145046955
-0.011766233766233852     6.938893903907228E-18    -1.0408340855860843E-16  -0.14577090431403017
-0.011740259740259825     6.938893903907228E-18    -1.0408340855860843E-16  -0.14673931100771653
-0.011714285714285799     6.938893903907228E-18    -1.0408340855860843E-16  -0.14770771770140256
-0.011688311688311772     6.938893903907228E-18    -1.0408340855860843E-16  -0.14867612439508887
-0.011662337662337749     6.938893903907228E-18    -1.0408340855860843E-16  -0.14964453108877512
-0.01163636363636372      6.938893903907228E-18    -1.0408340855860843E-16  -0.15055109896208196
-0.011610389610389696     6.938893903907228E-18    -1.0408340855860843E-16  -0.15147713350009895
-0.01158441558441567      6.938893903907228E-18    -1.0408340855860843E-16  -0.1524031680381161
