% Model:              3D_chameleons_fullgeom.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 22 2016, 14:39
% Dimension:          1
% Nodes:              202
% Expressions:        1
% Description:        Gradient of u, x component
% cln1x                   ux (1/m)
0.0014845664599194563     -5.2621357270308733E8
0.0014852581956269935     -5.382641180534575E8
0.0014853859252360428     -5.409542138368654E8
0.0014864063706541072     -5.626808946426878E8
0.001486866991445894      -5.6857364167204E8
0.0014868772555593976     -5.687997197531519E8
0.0014883968151765195     -6.022696460406032E8
0.001488696090836742      -6.088615126409097E8
0.0014891641604704228     -6.191712470930271E8
0.0014891847388049557     -6.196245069271126E8
0.0014895700406682456     -6.369317128122554E8
0.0014902933845079396     -6.519427182706137E8
0.0014903680964469812     -6.537746895267034E8
0.0014905720414082405     -6.587755141826383E8
0.0014906672220534774     -6.611093875695019E8
0.0014912678087626516     -6.815575292905569E8
0.0014913117409141342     -6.818046261732435E8
0.0014913250944742808     -6.822364087034864E8
0.0014919757246727658     -7.032743004921831E8
